Season,Year,SeasonalSOI,Phase
Autumn,1876,5.466666666666667,Neutral
Autumn,1877,-3.5666666666666664,Neutral
Autumn,1878,-7.4,ElNino
Autumn,1879,9.333333333333332,LaNina
Autumn,1880,10.633333333333333,LaNina
Autumn,1881,-0.7333333333333333,Neutral
Autumn,1882,4.366666666666666,Neutral
Autumn,1883,1,Neutral
Autumn,1884,-1.5666666666666667,Neutral
Autumn,1885,0.09999999999999994,Neutral
Autumn,1886,4.466666666666667,Neutral
Autumn,1887,5.033333333333333,Neutral
Autumn,1888,-15.033333333333333,ElNino
Autumn,1889,-9.966666666666667,ElNino
Autumn,1890,8.266666666666667,LaNina
Autumn,1891,-1.7666666666666666,Neutral
Autumn,1892,9.333333333333334,LaNina
Autumn,1893,-1.2333333333333334,Neutral
Autumn,1894,-0.8333333333333334,Neutral
Autumn,1895,-5.199999999999999,Neutral
Autumn,1896,-19.1,ElNino
Autumn,1897,-17.1,ElNino
Autumn,1898,9.466666666666667,LaNina
Autumn,1899,3.6333333333333333,Neutral
Autumn,1900,-17.133333333333333,ElNino
Autumn,1901,4.533333333333333,Neutral
Autumn,1902,9,LaNina
Autumn,1903,14.3,LaNina
Autumn,1904,16.766666666666666,LaNina
Autumn,1905,-36.733333333333334,ElNino
Autumn,1906,-4.233333333333333,Neutral
Autumn,1907,4.733333333333333,Neutral
Autumn,1908,5.3,Neutral
Autumn,1909,-4.233333333333333,Neutral
Autumn,1910,6.166666666666666,Neutral
Autumn,1911,-0.8999999999999998,Neutral
Autumn,1912,-14.366666666666667,ElNino
Autumn,1913,-4.3999999999999995,Neutral
Autumn,1914,-1.7999999999999998,Neutral
Autumn,1915,-16.8,ElNino
Autumn,1916,0,Neutral
Autumn,1917,20.566666666666666,LaNina
Autumn,1918,8.266666666666667,LaNina
Autumn,1919,-7.733333333333333,ElNino
Autumn,1920,-2.1666666666666665,Neutral
Autumn,1921,1.3000000000000003,Neutral
Autumn,1922,-1.6666666666666667,Neutral
Autumn,1923,6.533333333333333,Neutral
Autumn,1924,-0.5000000000000001,Neutral
Autumn,1925,9.4,LaNina
Autumn,1926,-7.7,ElNino
Autumn,1927,10.333333333333334,LaNina
Autumn,1928,7.666666666666667,LaNina
Autumn,1929,-0.8666666666666666,Neutral
Autumn,1930,0.03333333333333344,Neutral
Autumn,1931,9.1,LaNina
Autumn,1932,-0.6000000000000001,Neutral
Autumn,1933,2.533333333333333,Neutral
Autumn,1934,-0.3666666666666669,Neutral
Autumn,1935,2.8,Neutral
Autumn,1936,9.600000000000001,LaNina
Autumn,1937,2.6333333333333333,Neutral
Autumn,1938,4.366666666666666,Neutral
Autumn,1939,6.633333333333333,Neutral
Autumn,1940,-11.566666666666666,ElNino
Autumn,1941,-9.466666666666667,ElNino
Autumn,1942,-2.033333333333333,Neutral
Autumn,1943,6.766666666666667,Neutral
Autumn,1944,-0.3333333333333335,Neutral
Autumn,1945,1.9333333333333331,Neutral
Autumn,1946,-7.666666666666667,ElNino
Autumn,1947,-2.233333333333333,Neutral
Autumn,1948,0.7666666666666667,Neutral
Autumn,1949,0.33333333333333326,Neutral
Autumn,1950,14,LaNina
Autumn,1951,-3.0999999999999996,Neutral
Autumn,1952,-0.8666666666666669,Neutral
Autumn,1953,-12.733333333333333,ElNino
Autumn,1954,3.466666666666667,Neutral
Autumn,1955,4.333333333333333,Neutral
Autumn,1956,12.799999999999999,LaNina
Autumn,1957,-3.9666666666666663,Neutral
Autumn,1958,-2.8,Neutral
Autumn,1959,4.933333333333334,Neutral
Autumn,1960,6.2,Neutral
Autumn,1961,-3.3999999999999995,Neutral
Autumn,1962,4.033333333333333,Neutral
Autumn,1963,5.3999999999999995,Neutral
Autumn,1964,8.233333333333334,LaNina
Autumn,1965,-3.4333333333333336,Neutral
Autumn,1966,-10,ElNino
Autumn,1967,0.4333333333333333,Neutral
Autumn,1968,2.9,Neutral
Autumn,1969,-4.533333333333333,Neutral
Autumn,1970,-0.23333333333333317,Neutral
Autumn,1971,17,LaNina
Autumn,1972,-6.4,Neutral
Autumn,1973,0.49999999999999994,Neutral
Autumn,1974,14.033333333333333,LaNina
Autumn,1975,10.666666666666666,LaNina
Autumn,1976,5.5,Neutral
Autumn,1977,-10.166666666666666,ElNino
Autumn,1978,0.8666666666666668,Neutral
Autumn,1979,-1.6333333333333333,Neutral
Autumn,1980,-8.3,ElNino
Autumn,1981,-4.833333333333334,Neutral
Autumn,1982,-3.1999999999999997,Neutral
Autumn,1983,-13,ElNino
Autumn,1984,-1.3666666666666667,Neutral
Autumn,1985,5.066666666666666,Neutral
Autumn,1986,-1.5333333333333332,Neutral
Autumn,1987,-20.866666666666667,ElNino
Autumn,1988,3.7,Neutral
Autumn,1989,14.133333333333333,LaNina
Autumn,1990,1.3666666666666665,Neutral
Autumn,1991,-14.266666666666667,ElNino
Autumn,1992,-14.133333333333333,ElNino
Autumn,1993,-12.6,ElNino
Autumn,1994,-15.466666666666667,ElNino
Autumn,1995,-7.233333333333333,ElNino
Autumn,1996,5.1,Neutral
Autumn,1997,-15.7,ElNino
Autumn,1998,-17.466666666666665,ElNino
Autumn,1999,9.566666666666666,LaNina
Autumn,2000,9.933333333333334,LaNina
Autumn,2001,-0.6666666666666666,Neutral
Autumn,2002,-7.833333333333333,ElNino
Autumn,2003,-6.566666666666666,Neutral
Autumn,2004,-0.7000000000000002,Neutral
Autumn,2005,-8.5,ElNino
Autumn,2006,6.133333333333334,Neutral
Autumn,2007,-2.3666666666666667,Neutral
Autumn,2008,4.3999999999999995,Neutral
Autumn,2009,0.46666666666666645,Neutral
Autumn,2010,4.866666666666666,Neutral
Autumn,2011,16.2,LaNina
Autumn,2012,-2.3,Neutral
Autumn,2013,6.4,Neutral
Autumn,2014,-0.10000000000000024,Neutral
Autumn,2015,-9.566666666666666,ElNino
Autumn,2016,-7.966666666666667,ElNino
Autumn,2017,-0.2333333333333334,Neutral
Autumn,2018,5.7,Neutral
Autumn,2019,-5.7,Neutral
Autumn,2020,-0.9666666666666668,Neutral
Autumn,2021,1.7666666666666666,Neutral
Autumn,2022,18.200000000000003,LaNina
Spring,1876,-0.06666666666666672,Neutral
Spring,1877,-15.266666666666666,ElNino
Spring,1878,14.566666666666666,LaNina
Spring,1879,14.633333333333333,LaNina
Spring,1880,6.7,Neutral
Spring,1881,-10.1,ElNino
Spring,1882,-4.9,Neutral
Spring,1883,0.6000000000000002,Neutral
Spring,1884,-1.4,Neutral
Spring,1885,-12.566666666666666,ElNino
Spring,1886,12.466666666666667,LaNina
Spring,1887,1.5333333333333332,Neutral
Spring,1888,-12.233333333333333,ElNino
Spring,1889,12.766666666666666,LaNina
Spring,1890,5.166666666666667,Neutral
Spring,1891,-4.9,Neutral
Spring,1892,4.7,Neutral
Spring,1893,5.4,Neutral
Spring,1894,2.466666666666667,Neutral
Spring,1895,-6.066666666666666,Neutral
Spring,1896,-16.633333333333333,ElNino
Spring,1897,-2,Neutral
Spring,1898,-0.06666666666666665,Neutral
Spring,1899,6.766666666666667,Neutral
Spring,1900,-13.266666666666667,ElNino
Spring,1901,-15.566666666666666,ElNino
Spring,1902,-9.533333333333333,ElNino
Spring,1903,4.733333333333333,Neutral
Spring,1904,-5.266666666666667,Neutral
Spring,1905,-10.166666666666666,ElNino
Spring,1906,16.366666666666667,LaNina
Spring,1907,-0.4,Neutral
Spring,1908,9.4,LaNina
Spring,1909,4.733333333333333,Neutral
Spring,1910,15.1,LaNina
Spring,1911,-9.266666666666666,ElNino
Spring,1912,-3.1333333333333333,Neutral
Spring,1913,-10.166666666666666,ElNino
Spring,1914,-10.966666666666667,ElNino
Spring,1915,-1.5666666666666667,Neutral
Spring,1916,6.8,Neutral
Spring,1917,21.966666666666665,LaNina
Spring,1918,-3.9666666666666663,Neutral
Spring,1919,-9.2,ElNino
Spring,1920,0.23333333333333328,Neutral
Spring,1921,7.766666666666667,LaNina
Spring,1922,6.566666666666666,Neutral
Spring,1923,-11.2,ElNino
Spring,1924,9.266666666666667,LaNina
Spring,1925,-9.533333333333333,ElNino
Spring,1926,2.3,Neutral
Spring,1927,-4.233333333333333,Neutral
Spring,1928,6.6,Neutral
Spring,1929,6.2,Neutral
Spring,1930,-0.5,Neutral
Spring,1931,-4.166666666666667,Neutral
Spring,1932,-5.933333333333334,Neutral
Spring,1933,4.266666666666667,Neutral
Spring,1934,3.6333333333333333,Neutral
Spring,1935,5.833333333333333,Neutral
Spring,1936,-3.8000000000000003,Neutral
Spring,1937,-1.2333333333333334,Neutral
Spring,1938,7.4,LaNina
Spring,1939,-10.7,ElNino
Spring,1940,-14.9,ElNino
Spring,1941,-12.566666666666666,ElNino
Spring,1942,4.3999999999999995,Neutral
Spring,1943,6.233333333333333,Neutral
Spring,1944,-4.233333333333333,Neutral
Spring,1945,2.5666666666666664,Neutral
Spring,1946,-9.9,ElNino
Spring,1947,6.333333333333333,Neutral
Spring,1948,1.0333333333333332,Neutral
Spring,1949,0.4666666666666668,Neutral
Spring,1950,12.166666666666668,LaNina
Spring,1951,-6.133333333333333,Neutral
Spring,1952,-0.7666666666666666,Neutral
Spring,1953,-5.033333333333333,Neutral
Spring,1954,3.4,Neutral
Spring,1955,14.799999999999999,LaNina
Spring,1956,6.8,Neutral
Spring,1957,-7.933333333333334,ElNino
Spring,1958,-3.3333333333333335,Neutral
Spring,1959,5.166666666666667,Neutral
Spring,1960,4.466666666666667,Neutral
Spring,1961,1,Neutral
Spring,1962,6.866666666666667,Neutral
Spring,1963,-9.133333333333333,ElNino
Spring,1964,9.833333333333334,LaNina
Spring,1965,-14.399999999999999,ElNino
Spring,1966,-1.6,Neutral
Spring,1967,0.3333333333333332,Neutral
Spring,1968,-2.6999999999999997,Neutral
Spring,1969,-7.466666666666666,ElNino
Spring,1970,14.3,LaNina
Spring,1971,13.6,LaNina
Spring,1972,-9.766666666666667,ElNino
Spring,1973,18.266666666666666,LaNina
Spring,1974,6.466666666666667,Neutral
Spring,1975,18,LaNina
Spring,1976,-0.06666666666666643,Neutral
Spring,1977,-12.3,ElNino
Spring,1978,-2.466666666666667,Neutral
Spring,1979,-1.9333333333333333,Neutral
Spring,1980,-3.5,Neutral
Spring,1981,1.7,Neutral
Spring,1982,-24.233333333333334,ElNino
Spring,1983,4.466666666666667,Neutral
Spring,1984,0.3,Neutral
Spring,1985,-2.2666666666666666,Neutral
Spring,1986,-4.333333333333334,Neutral
Spring,1987,-6.066666666666666,Neutral
Spring,1988,18.566666666666666,LaNina
Spring,1989,3.6666666666666665,Neutral
Spring,1990,-3.6999999999999997,Neutral
Spring,1991,-12.266666666666667,ElNino
Spring,1992,-7.8999999999999995,ElNino
Spring,1993,-6.833333333333333,Neutral
Spring,1994,-12.866666666666667,ElNino
Spring,1995,1.0666666666666667,Neutral
Spring,1996,3.666666666666667,Neutral
Spring,1997,-15.933333333333334,ElNino
Spring,1998,11.5,LaNina
Spring,1999,7.266666666666667,LaNina
Spring,2000,14,LaNina
Spring,2001,2.2333333333333334,Neutral
Spring,2002,-7.2,ElNino
Spring,2003,-2.5,Neutral
Spring,2004,-5.033333333333333,Neutral
Spring,2005,4.266666666666667,Neutral
Spring,2006,-7.733333333333333,ElNino
Spring,2007,5.333333333333333,Neutral
Spring,2008,14.666666666666668,LaNina
Spring,2009,-5.6,Neutral
Spring,2010,19.866666666666667,LaNina
Spring,2011,10.933333333333334,LaNina
Spring,2012,2.966666666666667,Neutral
Spring,2013,3.733333333333333,Neutral
Spring,2014,-8.533333333333333,ElNino
Spring,2015,-14.433333333333334,ElNino
Spring,2016,2.8333333333333335,Neutral
Spring,2017,9.266666666666667,LaNina
Spring,2018,-2.3666666666666667,Neutral
Spring,2019,-9.1,ElNino
Spring,2020,7.966666666666667,LaNina
Spring,2021,9.5,LaNina
Summer,1875,11.15,LaNina
Summer,1876,-6.3999999999999995,Neutral
Summer,1877,-14.133333333333333,ElNino
Summer,1878,14.966666666666667,LaNina
Summer,1879,4.333333333333334,Neutral
Summer,1880,-4.9,Neutral
Summer,1881,0.566666666666667,Neutral
Summer,1882,8.466666666666667,LaNina
Summer,1883,-10.9,ElNino
Summer,1884,-9.1,ElNino
Summer,1885,2.066666666666667,Neutral
Summer,1886,12.533333333333333,LaNina
Summer,1887,0,Neutral
Summer,1888,-10,ElNino
Summer,1889,17.933333333333334,LaNina
Summer,1890,4.2,Neutral
Summer,1891,-3.9999999999999996,Neutral
Summer,1892,7.566666666666667,LaNina
Summer,1893,9.7,LaNina
Summer,1894,2.9,Neutral
Summer,1895,0.9000000000000001,Neutral
Summer,1896,-11.366666666666667,ElNino
Summer,1897,7.866666666666667,LaNina
Summer,1898,7.3,LaNina
Summer,1899,-5.6,Neutral
Summer,1900,-0.8666666666666667,Neutral
Summer,1901,4.3,Neutral
Summer,1902,-7.466666666666666,ElNino
Summer,1903,15.4,LaNina
Summer,1904,-7.8,ElNino
Summer,1905,-8,ElNino
Summer,1906,3.8,Neutral
Summer,1907,1.966666666666667,Neutral
Summer,1908,-3.7333333333333334,Neutral
Summer,1909,8.5,LaNina
Summer,1910,6.9,Neutral
Summer,1911,-9.466666666666667,ElNino
Summer,1912,-5.5,Neutral
Summer,1913,-3.466666666666667,Neutral
Summer,1914,-8.4,ElNino
Summer,1915,3.9333333333333336,Neutral
Summer,1916,10.166666666666666,LaNina
Summer,1917,17.9,LaNina
Summer,1918,-11.366666666666667,ElNino
Summer,1919,-3,Neutral
Summer,1920,9.100000000000001,LaNina
Summer,1921,8.433333333333334,LaNina
Summer,1922,7.266666666666667,LaNina
Summer,1923,-0.7333333333333334,Neutral
Summer,1924,8.2,LaNina
Summer,1925,-8.966666666666667,ElNino
Summer,1926,4.133333333333333,Neutral
Summer,1927,2.7,Neutral
Summer,1928,15.266666666666667,LaNina
Summer,1929,8.7,LaNina
Summer,1930,-3.1,Neutral
Summer,1931,0.9666666666666667,Neutral
Summer,1932,-0.9999999999999997,Neutral
Summer,1933,4.933333333333333,Neutral
Summer,1934,-0.16666666666666652,Neutral
Summer,1935,-1.8,Neutral
Summer,1936,1.6666666666666667,Neutral
Summer,1937,5.866666666666667,Neutral
Summer,1938,12.833333333333334,LaNina
Summer,1939,-4.266666666666667,Neutral
Summer,1940,-18.166666666666664,ElNino
Summer,1941,-8.4,ElNino
Summer,1942,11.233333333333334,LaNina
Summer,1943,-4.3,Neutral
Summer,1944,5.2,Neutral
Summer,1945,2.8666666666666667,Neutral
Summer,1946,-4.833333333333333,Neutral
Summer,1947,-0.16666666666666666,Neutral
Summer,1948,-3.6,Neutral
Summer,1949,10.133333333333333,LaNina
Summer,1950,16.366666666666667,LaNina
Summer,1951,-6.7,Neutral
Summer,1952,-5.466666666666667,Neutral
Summer,1953,-0.5333333333333333,Neutral
Summer,1954,7.533333333333333,LaNina
Summer,1955,11,LaNina
Summer,1956,4.566666666666666,Neutral
Summer,1957,-9.066666666666666,ElNino
Summer,1958,-9.733333333333333,ElNino
Summer,1959,2.0999999999999996,Neutral
Summer,1960,3.5,Neutral
Summer,1961,12.033333333333333,LaNina
Summer,1962,4.333333333333333,Neutral
Summer,1963,-5.3,Neutral
Summer,1964,-1.8,Neutral
Summer,1965,-4.833333333333333,Neutral
Summer,1966,7.833333333333333,LaNina
Summer,1967,2.733333333333333,Neutral
Summer,1968,-6.1,Neutral
Summer,1969,-5.699999999999999,Neutral
Summer,1970,11.933333333333334,LaNina
Summer,1971,4.666666666666666,Neutral
Summer,1972,-9.533333333333333,ElNino
Summer,1973,17.966666666666665,LaNina
Summer,1974,-0.16666666666666685,Neutral
Summer,1975,14.733333333333334,LaNina
Summer,1976,0.2333333333333334,Neutral
Summer,1977,-12.666666666666666,ElNino
Summer,1978,0.6000000000000001,Neutral
Summer,1979,-1.0666666666666667,Neutral
Summer,1980,-0.4666666666666667,Neutral
Summer,1981,4.9,Neutral
Summer,1982,-28.4,ElNino
Summer,1983,2.4,Neutral
Summer,1984,0.6000000000000001,Neutral
Summer,1985,-0.19999999999999973,Neutral
Summer,1986,-10.833333333333332,ElNino
Summer,1987,-3.533333333333333,Neutral
Summer,1988,11.033333333333333,LaNina
Summer,1989,-7.800000000000001,ElNino
Summer,1990,1.0999999999999999,Neutral
Summer,1991,-17.133333333333333,ElNino
Summer,1992,-7.2,ElNino
Summer,1993,0.19999999999999998,Neutral
Summer,1994,-6.1,Neutral
Summer,1995,1.3333333333333335,Neutral
Summer,1996,8.2,LaNina
Summer,1997,-17.266666666666666,ElNino
Summer,1998,12.5,LaNina
Summer,1999,10.266666666666667,LaNina
Summer,2000,9.333333333333334,LaNina
Summer,2001,0.43333333333333357,Neutral
Summer,2002,-6.666666666666667,Neutral
Summer,2003,2.266666666666667,Neutral
Summer,2004,-11.6,ElNino
Summer,2005,4.3,Neutral
Summer,2006,-4.666666666666667,Neutral
Summer,2007,16.6,LaNina
Summer,2008,12.5,LaNina
Summer,2009,-10.533333333333333,ElNino
Summer,2010,23.1,LaNina
Summer,2011,11.633333333333333,LaNina
Summer,2012,-3.566666666666667,Neutral
Summer,2013,3.833333333333333,Neutral
Summer,2014,-4.233333333333333,Neutral
Summer,2015,-16.166666666666664,ElNino
Summer,2016,0.5666666666666667,Neutral
Summer,2017,0.5000000000000001,Neutral
Summer,2018,-1.5999999999999996,Neutral
Summer,2019,-2.1333333333333333,Neutral
Summer,2020,14.966666666666667,LaNina
Summer,2021,8.7,LaNina
Winter,1876,7.966666666666667,LaNina
Winter,1877,-11.733333333333333,ElNino
Winter,1878,8.6,LaNina
Winter,1879,20.266666666666666,LaNina
Winter,1880,8.333333333333334,LaNina
Winter,1881,-7.233333333333333,ElNino
Winter,1882,-19.633333333333333,ElNino
Winter,1883,-1.7999999999999998,Neutral
Winter,1884,0.36666666666666653,Neutral
Winter,1885,-9.633333333333333,ElNino
Winter,1886,8.666666666666666,LaNina
Winter,1887,4.8,Neutral
Winter,1888,-13.866666666666667,ElNino
Winter,1889,8.566666666666666,LaNina
Winter,1890,0.1333333333333333,Neutral
Winter,1891,-5.566666666666666,Neutral
Winter,1892,10.966666666666667,LaNina
Winter,1893,10.833333333333332,LaNina
Winter,1894,-3.1666666666666665,Neutral
Winter,1895,-3.8,Neutral
Winter,1896,-24.533333333333335,ElNino
Winter,1897,-0.43333333333333324,Neutral
Winter,1898,1.9666666666666666,Neutral
Winter,1899,-8.7,ElNino
Winter,1900,14.633333333333333,LaNina
Winter,1901,14.666666666666668,LaNina
Winter,1902,-1.5666666666666667,Neutral
Winter,1903,1.8666666666666665,Neutral
Winter,1904,-5.066666666666666,Neutral
Winter,1905,-20.1,ElNino
Winter,1906,6.133333333333333,Neutral
Winter,1907,-1.3999999999999995,Neutral
Winter,1908,1.7333333333333334,Neutral
Winter,1909,14.433333333333334,LaNina
Winter,1910,17.433333333333334,LaNina
Winter,1911,-12.3,ElNino
Winter,1912,-4.766666666666667,Neutral
Winter,1913,-4.3999999999999995,Neutral
Winter,1914,-17.333333333333332,ElNino
Winter,1915,9.266666666666666,LaNina
Winter,1916,17,LaNina
Winter,1917,28.099999999999998,LaNina
Winter,1918,-7.733333333333333,ElNino
Winter,1919,-8.733333333333334,ElNino
Winter,1920,7.1,LaNina
Winter,1921,6,Neutral
Winter,1922,2.2666666666666666,Neutral
Winter,1923,-9.666666666666666,ElNino
Winter,1924,8.700000000000001,LaNina
Winter,1925,-9.633333333333333,ElNino
Winter,1926,-5.233333333333333,Neutral
Winter,1927,3.1333333333333333,Neutral
Winter,1928,0.5000000000000001,Neutral
Winter,1929,0.9,Neutral
Winter,1930,-3.8666666666666667,Neutral
Winter,1931,9.433333333333334,LaNina
Winter,1932,-5.533333333333333,Neutral
Winter,1933,-0.3,Neutral
Winter,1934,-2.933333333333333,Neutral
Winter,1935,-0.19999999999999993,Neutral
Winter,1936,-2.066666666666667,Neutral
Winter,1937,0.3666666666666667,Neutral
Winter,1938,16.5,LaNina
Winter,1939,2.033333333333333,Neutral
Winter,1940,-17.733333333333334,ElNino
Winter,1941,-18.033333333333335,ElNino
Winter,1942,3.766666666666667,Neutral
Winter,1943,0.9333333333333331,Neutral
Winter,1944,-3.166666666666667,Neutral
Winter,1945,7.833333333333333,LaNina
Winter,1946,-8.066666666666666,ElNino
Winter,1947,6.4,Neutral
Winter,1948,-2.7333333333333334,Neutral
Winter,1949,-6.033333333333333,Neutral
Winter,1950,20.1,LaNina
Winter,1951,-1.2333333333333332,Neutral
Winter,1952,2.4,Neutral
Winter,1953,-6.833333333333333,Neutral
Winter,1954,4.366666666666667,Neutral
Winter,1955,16.833333333333332,LaNina
Winter,1956,11.966666666666667,LaNina
Winter,1957,-3.6333333333333333,Neutral
Winter,1958,3.4,Neutral
Winter,1959,-5.433333333333334,Neutral
Winter,1960,3.033333333333333,Neutral
Winter,1961,-0.2666666666666666,Neutral
Winter,1962,3.0666666666666664,Neutral
Winter,1963,-4.333333333333333,Neutral
Winter,1964,9.5,LaNina
Winter,1965,-15.600000000000001,ElNino
Winter,1966,1.3333333333333333,Neutral
Winter,1967,4.7,Neutral
Winter,1968,6.6000000000000005,Neutral
Winter,1969,-3.966666666666667,Neutral
Winter,1970,2.766666666666667,Neutral
Winter,1971,6.366666666666667,Neutral
Winter,1972,-13.166666666666668,ElNino
Winter,1973,10.233333333333334,LaNina
Winter,1974,7.066666666666666,LaNina
Winter,1975,19.1,LaNina
Winter,1976,-8.233333333333334,ElNino
Winter,1977,-14.833333333333332,ElNino
Winter,1978,4.433333333333334,Neutral
Winter,1979,-2.4666666666666663,Neutral
Winter,1980,-1.6666666666666667,Neutral
Winter,1981,8.933333333333334,LaNina
Winter,1982,-21,ElNino
Winter,1983,-3.533333333333333,Neutral
Winter,1984,-1.2666666666666664,Neutral
Winter,1985,-1.133333333333333,Neutral
Winter,1986,1.7666666666666666,Neutral
Winter,1987,-17.566666666666666,ElNino
Winter,1988,7.433333333333334,LaNina
Winter,1989,3.5000000000000004,Neutral
Winter,1990,0.5,Neutral
Winter,1991,-4.933333333333334,Neutral
Winter,1992,-6.1000000000000005,Neutral
Winter,1993,-13.6,ElNino
Winter,1994,-15.2,ElNino
Winter,1995,1.1666666666666667,Neutral
Winter,1996,8.433333333333334,LaNina
Winter,1997,-17.8,ElNino
Winter,1998,11.433333333333334,LaNina
Winter,1999,2.6333333333333333,Neutral
Winter,2000,-1.3,Neutral
Winter,2001,-3.3666666666666663,Neutral
Winter,2002,-9.5,ElNino
Winter,2003,-3.6333333333333333,Neutral
Winter,2004,-9.9,ElNino
Winter,2005,-1.1333333333333333,Neutral
Winter,2006,-9.933333333333334,ElNino
Winter,2007,0.9,Neutral
Winter,2008,5.166666666666667,Neutral
Winter,2009,-1.9,Neutral
Winter,2010,13.700000000000001,LaNina
Winter,2011,4.333333333333333,Neutral
Winter,2012,-5.7,Neutral
Winter,2013,7.166666666666667,LaNina
Winter,2014,-5.3,Neutral
Winter,2015,-15.5,ElNino
Winter,2016,5.1,Neutral
Winter,2017,0.33333333333333304,Neutral
Winter,2018,-3.6,Neutral
Winter,2019,-6.8,Neutral
Winter,2020,1.466666666666667,Neutral
Winter,2021,7.7,LaNina
