id,Season,Year,total_seas_prcp,name
ASN00040223,Spring,1949,329.9,BRISBANE AERO
ASN00040223,Summer,1949,693.1,BRISBANE AERO
ASN00040223,Winter,1949,111.3,BRISBANE AERO
ASN00040223,Autumn,1949,NA,BRISBANE AERO
ASN00040223,Spring,1950,255.8,BRISBANE AERO
ASN00040223,Summer,1950,627.6,BRISBANE AERO
ASN00040223,Winter,1950,451.2,BRISBANE AERO
ASN00040223,Autumn,1950,271.6,BRISBANE AERO
ASN00040223,Spring,1951,58.2,BRISBANE AERO
ASN00040223,Summer,1951,163.1,BRISBANE AERO
ASN00040223,Winter,1951,56.6,BRISBANE AERO
ASN00040223,Autumn,1951,274.4,BRISBANE AERO
ASN00040223,Spring,1952,139.7,BRISBANE AERO
ASN00040223,Summer,1952,638.8,BRISBANE AERO
ASN00040223,Winter,1952,234.2,BRISBANE AERO
ASN00040223,Autumn,1952,326.8,BRISBANE AERO
ASN00040223,Spring,1953,120.7,BRISBANE AERO
ASN00040223,Summer,1953,803.6,BRISBANE AERO
ASN00040223,Winter,1953,94.1,BRISBANE AERO
ASN00040223,Autumn,1953,210.6,BRISBANE AERO
ASN00040223,Spring,1954,305.8,BRISBANE AERO
ASN00040223,Summer,1954,260.5,BRISBANE AERO
ASN00040223,Winter,1954,325.3,BRISBANE AERO
ASN00040223,Autumn,1954,159.2,BRISBANE AERO
ASN00040223,Spring,1955,152,BRISBANE AERO
ASN00040223,Summer,1955,763,BRISBANE AERO
ASN00040223,Winter,1955,114.8,BRISBANE AERO
ASN00040223,Autumn,1955,698.4,BRISBANE AERO
ASN00040223,Spring,1956,107.5,BRISBANE AERO
ASN00040223,Summer,1956,446.3,BRISBANE AERO
ASN00040223,Winter,1956,165.3,BRISBANE AERO
ASN00040223,Autumn,1956,441.3,BRISBANE AERO
ASN00040223,Spring,1957,107.1,BRISBANE AERO
ASN00040223,Summer,1957,326.2,BRISBANE AERO
ASN00040223,Winter,1957,168.6,BRISBANE AERO
ASN00040223,Autumn,1957,92.5,BRISBANE AERO
ASN00040223,Spring,1958,104.3,BRISBANE AERO
ASN00040223,Summer,1958,499.3,BRISBANE AERO
ASN00040223,Winter,1958,300,BRISBANE AERO
ASN00040223,Autumn,1958,343.4,BRISBANE AERO
ASN00040223,Spring,1959,412.4,BRISBANE AERO
ASN00040223,Summer,1959,328.7,BRISBANE AERO
ASN00040223,Winter,1959,101.8,BRISBANE AERO
ASN00040223,Autumn,1959,289,BRISBANE AERO
ASN00040223,Spring,1960,144.7,BRISBANE AERO
ASN00040223,Summer,1960,365.1,BRISBANE AERO
ASN00040223,Winter,1960,77.1,BRISBANE AERO
ASN00040223,Autumn,1960,146.1,BRISBANE AERO
ASN00040223,Spring,1961,363.6,BRISBANE AERO
ASN00040223,Summer,1961,337.2,BRISBANE AERO
ASN00040223,Winter,1961,135.3,BRISBANE AERO
ASN00040223,Autumn,1961,106.9,BRISBANE AERO
ASN00040223,Spring,1962,165.7,BRISBANE AERO
ASN00040223,Summer,1962,445.3,BRISBANE AERO
ASN00040223,Winter,1962,238.1,BRISBANE AERO
ASN00040223,Autumn,1962,199.7,BRISBANE AERO
ASN00040223,Spring,1963,194.1,BRISBANE AERO
ASN00040223,Summer,1963,421.8,BRISBANE AERO
ASN00040223,Winter,1963,75.4,BRISBANE AERO
ASN00040223,Autumn,1963,690.2,BRISBANE AERO
ASN00040223,Spring,1964,191.9,BRISBANE AERO
ASN00040223,Summer,1964,308.2,BRISBANE AERO
ASN00040223,Winter,1964,105.3,BRISBANE AERO
ASN00040223,Autumn,1964,490.9,BRISBANE AERO
ASN00040223,Spring,1965,138.1,BRISBANE AERO
ASN00040223,Summer,1965,445.1,BRISBANE AERO
ASN00040223,Winter,1965,448.3,BRISBANE AERO
ASN00040223,Autumn,1965,86.6,BRISBANE AERO
ASN00040223,Spring,1966,323.9,BRISBANE AERO
ASN00040223,Summer,1966,514.8,BRISBANE AERO
ASN00040223,Winter,1966,348.7,BRISBANE AERO
ASN00040223,Autumn,1966,245.6,BRISBANE AERO
ASN00040223,Spring,1967,169.8,BRISBANE AERO
ASN00040223,Summer,1967,558.9,BRISBANE AERO
ASN00040223,Winter,1967,776.7,BRISBANE AERO
ASN00040223,Autumn,1967,444.4,BRISBANE AERO
ASN00040223,Spring,1968,83.2,BRISBANE AERO
ASN00040223,Summer,1968,213.3,BRISBANE AERO
ASN00040223,Winter,1968,111.6,BRISBANE AERO
ASN00040223,Autumn,1968,125.7,BRISBANE AERO
ASN00040223,Spring,1969,356.8,BRISBANE AERO
ASN00040223,Summer,1969,331.7,BRISBANE AERO
ASN00040223,Winter,1969,163.1,BRISBANE AERO
ASN00040223,Autumn,1969,345.8,BRISBANE AERO
ASN00040223,Spring,1970,399.7,BRISBANE AERO
ASN00040223,Summer,1970,1207.7,BRISBANE AERO
ASN00040223,Winter,1970,33.6,BRISBANE AERO
ASN00040223,Autumn,1970,250.5,BRISBANE AERO
ASN00040223,Spring,1971,315.8,BRISBANE AERO
ASN00040223,Summer,1971,770.4,BRISBANE AERO
ASN00040223,Winter,1971,86.1,BRISBANE AERO
ASN00040223,Autumn,1971,136.9,BRISBANE AERO
ASN00040223,Spring,1972,574,BRISBANE AERO
ASN00040223,Summer,1972,441.7,BRISBANE AERO
ASN00040223,Winter,1972,54.7,BRISBANE AERO
ASN00040223,Autumn,1972,494.5,BRISBANE AERO
ASN00040223,Spring,1973,355.5,BRISBANE AERO
ASN00040223,Summer,1973,1071.2,BRISBANE AERO
ASN00040223,Winter,1973,456.5,BRISBANE AERO
ASN00040223,Autumn,1973,95,BRISBANE AERO
ASN00040223,Spring,1974,259,BRISBANE AERO
ASN00040223,Summer,1974,389.8,BRISBANE AERO
ASN00040223,Winter,1974,200.6,BRISBANE AERO
ASN00040223,Autumn,1974,697.6,BRISBANE AERO
ASN00040223,Spring,1975,222.6,BRISBANE AERO
ASN00040223,Summer,1975,603,BRISBANE AERO
ASN00040223,Winter,1975,141.8,BRISBANE AERO
ASN00040223,Autumn,1975,69,BRISBANE AERO
ASN00040223,Spring,1976,404.2,BRISBANE AERO
ASN00040223,Summer,1976,248.6,BRISBANE AERO
ASN00040223,Winter,1976,76.6,BRISBANE AERO
ASN00040223,Autumn,1976,329.6,BRISBANE AERO
ASN00040223,Spring,1977,191.6,BRISBANE AERO
ASN00040223,Summer,1977,232.8,BRISBANE AERO
ASN00040223,Winter,1977,34.6,BRISBANE AERO
ASN00040223,Autumn,1977,182.7,BRISBANE AERO
ASN00040223,Spring,1978,225.6,BRISBANE AERO
ASN00040223,Summer,1978,456.7,BRISBANE AERO
ASN00040223,Winter,1978,127.6,BRISBANE AERO
ASN00040223,Autumn,1978,324.7,BRISBANE AERO
ASN00040223,Spring,1979,184,BRISBANE AERO
ASN00040223,Summer,1979,309.2,BRISBANE AERO
ASN00040223,Winter,1979,104.8,BRISBANE AERO
ASN00040223,Autumn,1979,136.8,BRISBANE AERO
ASN00040223,Spring,1980,132.4,BRISBANE AERO
ASN00040223,Summer,1980,677,BRISBANE AERO
ASN00040223,Winter,1980,70.8,BRISBANE AERO
ASN00040223,Autumn,1980,413,BRISBANE AERO
ASN00040223,Spring,1981,436.8,BRISBANE AERO
ASN00040223,Summer,1981,457.2,BRISBANE AERO
ASN00040223,Winter,1981,114.6,BRISBANE AERO
ASN00040223,Autumn,1981,297.8,BRISBANE AERO
ASN00040223,Spring,1982,149.2,BRISBANE AERO
ASN00040223,Summer,1982,433,BRISBANE AERO
ASN00040223,Winter,1982,43,BRISBANE AERO
ASN00040223,Autumn,1982,359,BRISBANE AERO
ASN00040223,Spring,1983,304.2,BRISBANE AERO
ASN00040223,Summer,1983,272,BRISBANE AERO
ASN00040223,Winter,1983,374.6,BRISBANE AERO
ASN00040223,Autumn,1983,449.2,BRISBANE AERO
ASN00040223,Spring,1984,186.4,BRISBANE AERO
ASN00040223,Summer,1984,293.8,BRISBANE AERO
ASN00040223,Winter,1984,214.8,BRISBANE AERO
ASN00040223,Autumn,1984,367.6,BRISBANE AERO
ASN00040223,Spring,1985,235.4,BRISBANE AERO
ASN00040223,Summer,1985,132.8,BRISBANE AERO
ASN00040223,Winter,1985,244.8,BRISBANE AERO
ASN00040223,Autumn,1985,342,BRISBANE AERO
ASN00040223,Spring,1986,332.2,BRISBANE AERO
ASN00040223,Summer,1986,340,BRISBANE AERO
ASN00040223,Winter,1986,110,BRISBANE AERO
ASN00040223,Autumn,1986,226.6,BRISBANE AERO
ASN00040223,Spring,1987,226.4,BRISBANE AERO
ASN00040223,Summer,1987,269.8,BRISBANE AERO
ASN00040223,Winter,1987,178.2,BRISBANE AERO
ASN00040223,Autumn,1987,414.2,BRISBANE AERO
ASN00040223,Spring,1988,94.2,BRISBANE AERO
ASN00040223,Summer,1988,377,BRISBANE AERO
ASN00040223,Winter,1988,322.4,BRISBANE AERO
ASN00040223,Autumn,1988,555.6,BRISBANE AERO
ASN00040223,Spring,1989,102.4,BRISBANE AERO
ASN00040223,Summer,1989,555.8,BRISBANE AERO
ASN00040223,Winter,1989,122.6,BRISBANE AERO
ASN00040223,Autumn,1989,791.8,BRISBANE AERO
ASN00040223,Spring,1990,101.8,BRISBANE AERO
ASN00040223,Summer,1990,381.4,BRISBANE AERO
ASN00040223,Winter,1990,124.4,BRISBANE AERO
ASN00040223,Autumn,1990,571.8,BRISBANE AERO
ASN00040223,Spring,1991,60.8,BRISBANE AERO
ASN00040223,Summer,1991,740.2,BRISBANE AERO
ASN00040223,Winter,1991,125.2,BRISBANE AERO
ASN00040223,Autumn,1991,111.2,BRISBANE AERO
ASN00040223,Spring,1992,147.8,BRISBANE AERO
ASN00040223,Summer,1992,225.8,BRISBANE AERO
ASN00040223,Winter,1992,80,BRISBANE AERO
ASN00040223,Autumn,1992,418.2,BRISBANE AERO
ASN00040223,Spring,1993,196.4,BRISBANE AERO
ASN00040223,Summer,1993,382.2,BRISBANE AERO
ASN00040223,Winter,1993,127,BRISBANE AERO
ASN00040223,Autumn,1993,171.6,BRISBANE AERO
ASN00040223,Spring,1994,105.4,BRISBANE AERO
ASN00040223,Summer,1994,420.6,BRISBANE AERO
ASN00040223,Winter,1994,24.8,BRISBANE AERO
ASN00040223,Autumn,1994,356.8,BRISBANE AERO
ASN00040223,Spring,1995,272,BRISBANE AERO
ASN00040223,Summer,1995,583.6,BRISBANE AERO
ASN00040223,Winter,1995,71.8,BRISBANE AERO
ASN00040223,Autumn,1995,151,BRISBANE AERO
ASN00040223,Spring,1996,197,BRISBANE AERO
ASN00040223,Summer,1996,299.6,BRISBANE AERO
ASN00040223,Winter,1996,105.6,BRISBANE AERO
ASN00040223,Autumn,1996,721.8,BRISBANE AERO
ASN00040223,Spring,1997,283.6,BRISBANE AERO
ASN00040223,Summer,1997,257,BRISBANE AERO
ASN00040223,Winter,1997,54.4,BRISBANE AERO
ASN00040223,Autumn,1997,259.6,BRISBANE AERO
ASN00040223,Spring,1998,245.1,BRISBANE AERO
ASN00040223,Summer,1998,664.2,BRISBANE AERO
ASN00040223,Winter,1998,165.6,BRISBANE AERO
ASN00040223,Autumn,1998,383.2,BRISBANE AERO
ASN00040223,Spring,1999,348.2,BRISBANE AERO
ASN00040223,Summer,1999,246.4,BRISBANE AERO
ASN00040223,Winter,1999,403.8,BRISBANE AERO
ASN00040223,Autumn,1999,312.2,BRISBANE AERO
ASN00040223,Spring,2000,146.5,BRISBANE AERO
ASN00040223,Summer,2000,248.5,BRISBANE AERO
ASN00040223,Winter,2000,99.6,BRISBANE AERO
ASN00040223,Autumn,2000,130.8,BRISBANE AERO
ASN00040223,Spring,2001,309.9,BRISBANE AERO
ASN00040223,Summer,2001,151.9,BRISBANE AERO
ASN00040223,Winter,2001,57.8,BRISBANE AERO
ASN00040223,Autumn,2001,210,BRISBANE AERO
ASN00040223,Spring,2002,100.7,BRISBANE AERO
ASN00040223,Summer,2002,332.9,BRISBANE AERO
ASN00040223,Winter,2002,173.4,BRISBANE AERO
ASN00040223,Autumn,2002,174.3,BRISBANE AERO
ASN00040223,Spring,2003,118.4,BRISBANE AERO
ASN00040223,Summer,2003,513.8,BRISBANE AERO
ASN00040223,Winter,2003,150.1,BRISBANE AERO
ASN00040223,Autumn,2003,272.3,BRISBANE AERO
ASN00040223,Spring,2004,165.3,BRISBANE AERO
ASN00040223,Summer,2004,341.5,BRISBANE AERO
ASN00040223,Winter,2004,24.9,BRISBANE AERO
ASN00040223,Autumn,2004,214.8,BRISBANE AERO
ASN00040223,Spring,2005,309.8,BRISBANE AERO
ASN00040223,Summer,2005,312,BRISBANE AERO
ASN00040223,Winter,2005,193.9,BRISBANE AERO
ASN00040223,Autumn,2005,157.9,BRISBANE AERO
ASN00040223,Spring,2006,97.1,BRISBANE AERO
ASN00040223,Summer,2006,295,BRISBANE AERO
ASN00040223,Winter,2006,117.1,BRISBANE AERO
ASN00040223,Autumn,2006,91.2,BRISBANE AERO
ASN00040223,Spring,2007,150.7,BRISBANE AERO
ASN00040223,Summer,2007,384.2,BRISBANE AERO
ASN00040223,Winter,2007,218.2,BRISBANE AERO
ASN00040223,Autumn,2007,109.1,BRISBANE AERO
ASN00040223,Spring,2008,320.5,BRISBANE AERO
ASN00040223,Summer,2008,263.5,BRISBANE AERO
ASN00040223,Winter,2008,231.5,BRISBANE AERO
ASN00040223,Autumn,2008,114.2,BRISBANE AERO
ASN00040223,Spring,2009,100.5,BRISBANE AERO
ASN00040223,Summer,2009,373.2,BRISBANE AERO
ASN00040223,Winter,2009,95.3,BRISBANE AERO
ASN00040223,Autumn,2009,516.3,BRISBANE AERO
ASN00040223,Spring,2010,483.1,BRISBANE AERO
ASN00040223,Summer,2010,891.6,BRISBANE AERO
ASN00040223,Winter,2010,146.9,BRISBANE AERO
ASN00040223,Autumn,2010,346.5,BRISBANE AERO
ASN00040223,Spring,2011,132.9,BRISBANE AERO
ASN00040223,Summer,2011,621.6,BRISBANE AERO
ASN00040223,Winter,2011,115.7,BRISBANE AERO
ASN00040223,Autumn,2011,338.9,BRISBANE AERO
ASN00040223,Spring,2012,141.4,BRISBANE AERO
ASN00040223,Summer,2012,504.7,BRISBANE AERO
ASN00040223,Winter,2012,197.7,BRISBANE AERO
ASN00040223,Autumn,2012,405.7,BRISBANE AERO
ASN00040223,Spring,2013,164.2,BRISBANE AERO
ASN00040223,Summer,2013,142.6,BRISBANE AERO
ASN00040223,Winter,2013,174.5,BRISBANE AERO
ASN00040223,Autumn,2013,420.5,BRISBANE AERO
ASN00040223,Spring,2014,118.7,BRISBANE AERO
ASN00040223,Summer,2014,620.5,BRISBANE AERO
ASN00040223,Winter,2014,125.6,BRISBANE AERO
ASN00040223,Autumn,2014,150.4,BRISBANE AERO
ASN00040223,Spring,2015,179.3,BRISBANE AERO
ASN00040223,Summer,2015,124.5,BRISBANE AERO
ASN00040223,Winter,2015,95.1,BRISBANE AERO
ASN00040223,Autumn,2015,479.6,BRISBANE AERO
ASN00040223,Spring,2016,281,BRISBANE AERO
ASN00040223,Summer,2016,205.1,BRISBANE AERO
ASN00040223,Winter,2016,211.4,BRISBANE AERO
ASN00040223,Autumn,2016,160.8,BRISBANE AERO
ASN00040223,Spring,2017,242.3,BRISBANE AERO
ASN00040223,Summer,2017,326.8,BRISBANE AERO
ASN00040223,Winter,2017,125.4,BRISBANE AERO
ASN00040223,Autumn,2017,336.8,BRISBANE AERO
ASN00040223,Spring,2018,185.8,BRISBANE AERO
ASN00040223,Summer,2018,98.8,BRISBANE AERO
ASN00040223,Winter,2018,71.2,BRISBANE AERO
ASN00040223,Autumn,2018,252.9,BRISBANE AERO
ASN00040223,Spring,2019,111.5,BRISBANE AERO
ASN00040223,Summer,2019,687.9,BRISBANE AERO
ASN00040223,Winter,2019,61.5,BRISBANE AERO
ASN00040223,Autumn,2019,240.7,BRISBANE AERO
ASN00040223,Spring,2020,145.1,BRISBANE AERO
ASN00040223,Summer,2020,376.3,BRISBANE AERO
ASN00040223,Winter,2020,143.8,BRISBANE AERO
ASN00040223,Autumn,2020,159.1,BRISBANE AERO
ASN00040223,Spring,2021,542.2,BRISBANE AERO
ASN00040223,Summer,2021,1057.3,BRISBANE AERO
ASN00040223,Winter,2021,85.7,BRISBANE AERO
ASN00040223,Autumn,2021,521.6,BRISBANE AERO
ASN00040223,Spring,2022,NA,BRISBANE AERO
ASN00040223,Summer,2022,NA,BRISBANE AERO
ASN00040223,Winter,2022,NA,BRISBANE AERO
ASN00040223,Autumn,2022,34,BRISBANE AERO
